title,phone,address
Pak Daman Burger,(414) 302-2000,"8501 W Greenfield AveMilwaukee, WI 53214"
Pass Da Peas,(414) 393-0992,"7870 W Appleton AveMilwaukee, WI 53218"
Poco Loco,(414) 355-9550,"4134 W River LnMilwaukee, WI 53209"
Mobay Cafe,(414) 988-9196,"1022 S 1st StMilwaukee, WI 53204"
Colectivo Coffee,(414) 223-4551,"1701 N Lincoln Memorial DrMilwaukee, WI 53202"
Stone Creek Coffee,(414) 481-4215,"2266 S Kinnickinnic AveMilwaukee, WI 53207"
The Halal Guys,(414) 214-1357,"3133 N Oakland AveMilwaukee, WI 53211"
Beef-E's Italian Beef,(414) 688-6290,"3446 S 8th StMilwaukee, WI 53215"
Mara's Grill Mexican Restaurant,(414) 810-0031,"3441 N 84th StMilwaukee, WI 53222"
Slice Of New York Pizzeria,(414) 212-8969,"730 N Milwaukee StMilwaukee, WI 53202"
Wisconsin Pizza Authority,(414) 808-0899,"1888 N Humboldt AveMilwaukee, WI 53202"
Ricky's Restaurant,(414) 384-8555,"725 W Lapham BlvdMilwaukee, WI 53204"
Cafe India Bar & Grill,(414) 837-6121,"2201 S Kinnickinnic AveMilwaukee, WI 53207"
Troop Cafe,(414) 763-7490,"3430 W Wisconsin AveMilwaukee, WI 53208"
Stone,(414) 483-3888,"2422 S Howell AveMilwaukee, WI 53207"
Home Bar,(414) 744-2337,"2659 S Kinnickinnic AveMilwaukee, WI 53207"
Svens European Cafe,(414) 483-2233,"2699 S Kinnickinnic AveMilwaukee, WI 53207"
Tu Casa Mexican Restaurant & Bar,(414) 383-4666,"3710 W Lincoln AveMilwaukee, WI 53215"
Peet's Coffee & Tea,(414) 967-9218,"4145 N Oakland AveMilwaukee, WI 53211"
Little Cook's,(414) 323-7573,"2674 N 51st StMilwaukee, WI 53210"
Moonshine Pub & Grill,(414) 231-9168,"3300 S 27th StMilwaukee, WI 53215"
Oniomania,(414) 727-9797,"6430 W National AveMilwaukee, WI 53214"
Muzak's Delight,(414) 449-1100,"2721 N Blaine PlMilwaukee, WI 53210"
Great Taste,(414) 443-1638,"6618 W North AveMilwaukee, WI 53213"
Una Cafe,(414) 327-2393,"4410 W Forest Home AveMilwaukee, WI 53219"
Daddy Yo's Frozen Yogurt,(414) 239-8882,"404 E Silver Spring DrMilwaukee, WI 53217"
Allgauer's Bistro In The Park,(414) 577-5000,"11600 W Park PlMilwaukee, WI 53224"
Little DeMarinis Pizza,(414) 763-5272,"2860 S Kinnickinnic AveMilwaukee, WI 53207"
Upper Crust Pizza,(414) 332-6820,"249 W Hampton AveMilwaukee, WI 53217"
Kincaid's,(414) 227-1111,"1110 N Old World 3rd StMilwaukee, WI 53203"
Sherman Perk Coffee Shop,(414) 875-7375,"4924 W Roosevelt DrMilwaukee, WI 53216"
Kims Thai Restaurant,(414) 282-8687,"5455 S 27th StMilwaukee, WI 53221"
Fat Valdy's Fiesta Garibaldi,(414) 443-0287,"5108 W Bluemound RdMilwaukee, WI 53213"
The Original Suburpia,(414) 456-1100,"10853 W Bluemound RdMilwaukee, WI 53226"
Taco City,(414) 431-8400,"1820 N Farwell AveMilwaukee, WI 53202"
The Chocolate Factory,(414) 431-4713,"4330 N Oakland AveMilwaukee, WI 53211"
Rosati's Pizza,(414) 228-8585,"6900 N Santa Monica BlvdMilwaukee, WI 53217"
Zizzis Pizza,(414) 447-9000,"4720 W Lisbon AveMilwaukee, WI 53208"
Pizza Hut,(414) 444-4161,"7604 W Burleigh StMilwaukee, WI 53222"
311 Restaurant,(414) 225-0033,"311 E Wisconsin AveMilwaukee, WI 53202"
Cocina 1023,(414) 810-1022,"1022 S 1st StMilwaukee, WI 53204"
Pastiche Bistro & Wine Bar,(414) 482-1446,"3001 S Kinnickinnic AveMilwaukee, WI 53207"
Gm's Dog House,(414) 763-0623,"1641 S 68th StMilwaukee, WI 53214"
Four Seasons Restaurant,(414) 482-2222,"4177 S Howell AveMilwaukee, WI 53207"
Metro,(414) 272-1937,"411 E Mason StMilwaukee, WI 53202"
Dunkin',(414) 224-7924,"111 E Wisconsin AveMilwaukee, WI 53202"
Panera Bread,(414) 234-5056,"3511 S 27th StMilwaukee, WI 53221"
Dunkin',(414) 281-4766,"4550 S 27th St Ste AMilwaukee, WI 53221"
Dunkin',(414) 284-7609,"7926 W Capitol DrMilwaukee, WI 53222"
Dunkin',(414) 284-7604,"7272 N 76th StMilwaukee, WI 53223"
Third Coast Provisions,(414) 323-7434,"724 N Milwaukee StMilwaukee, WI 53202"
Amilinda,(414) 369-3683,"315 E Wisconsin AveMilwaukee, WI 53202"
Sweetgreen,(414) 250-0205,"300 E Buffalo StMilwaukee, WI 53202"
Wonderstate Coffee,(414) 914-9497,"232 E Erie StMilwaukee, WI 53202"
Ian's Pizza Milwaukee | Downtown,(414) 727-9200,"146 E Juneau AveMilwaukee, WI 53202"
Stone Creek Coffee,(414) 270-0028,"158 S Barclay StMilwaukee, WI 53204"
Dave's Hot Chicken,(414) 239-6014,"544 E Ogden Ave Ste 200Milwaukee, WI 53202"
Upper Crust Pizza,(414) 204-8889,"1125 N 9th St Unit GMilwaukee, WI 53233"
Fixture Pizza Pub,(414) 736-8709,"623 S 2nd StMilwaukee, WI 53204"
Movida at Hotel Madrid,(414) 488-9146,"600 S 6th StMilwaukee, WI 53204"
Engine Company No. 3,(414) 226-5695,"217 W National AveMilwaukee, WI 53204"
Einstein Bros. Bagels,(414) 288-0469,"1441 W Wisconsin AveMilwaukee, WI 53233"
Moment Restaurant,(812) 280-1103,"1612 W Wisconsin AveMilwaukee, WI 53233"
On The Bayou,(414) 509-8932,"2053 N Dr Martin Luther King Jr DrMilwaukee, WI 53212"
The Big Eazy,(414) 795-2773,"2053 N Dr Martin Luther King DrMilwaukee, WI 53202"
Beerline Cafe,(414) 265-5644,"2076 N Commerce StMilwaukee, WI 53212"
Mariachis in Wisconsin,(414) 364-0472,"1527 W Mineral StMilwaukee, WI 53204"
Riverwest Cooperative,(414) 264-7933,"733 E Clarke StMilwaukee, WI 53212"
Joyride Cafe,(414) 246-5524,"187 E Becher StMilwaukee, WI 53207"
BelAir Cantina,(414) 964-1190,"2625 N Downer AveMilwaukee, WI 53211"
Cafe Hollander,(414) 963-6366,"2608 N Downer AveMilwaukee, WI 53211"
Hunt Brothers Pizza,(414) 364-2578,"200 E Chambers StMilwaukee, WI 53212"
Sabor Tropical,(414) 988-8030,"2258 S Kinnickinnic AveMilwaukee, WI 53207"
Triciclo Peru,(414) 239-8388,"3801 W Vliet StMilwaukee, WI 53208"
2 Mesa,(414) 808-1594,"4110 W Martin DrMilwaukee, WI 53208"
Crafty Cow - Burgers & Fried Chicken,(414) 808-0481,"2675 S Kinnickinnic AveMilwaukee, WI 53207"
Miller Park,(414) 384-8532,"1 Brewers WayMilwaukee, WI 53214"
Little Caesars Pizza,(414) 481-0500,"2976 S Chase AveMilwaukee, WI 53207"
Ian's Pizza Milwaukee | Story Hill,(414) 727-9200,"5300 W Blue Mound RdMilwaukee, WI 53208"
Tavos Signature Cuisine,(414) 239-8888,"5814 W Bluemound RdMilwaukee, WI 53213"
Maison,(414) 323-4030,"5921 W Vliet StMilwaukee, WI 53208"
Sprocket Cafe,(414) 539-4040,"3385 S Kinnickinnic AveMilwaukee, WI 53207"
Elevated Eats,(414) 897-2877,"628 Crescent CtMilwaukee, WI 53213"
Pat's Niche Pub and Grub,(414) 539-6452,"3956 S Howell AveMilwaukee, WI 53207"
Tropical Smoothie Cafe,(414) 488-2959,"3657 S 27th StMilwaukee, WI 53221"
Dunkin',(414) 255-7651,"3659 S 27th StMilwaukee, WI 53221"
The Meltdown,(414) 282-7946,"3801 S 27th StMilwaukee, WI 53221"
Little Caesars Pizza,(262) 409-1494,"3871 S 27th StMilwaukee, WI 53221"
Kin By Rice N Roll,(414) 524-9056,"7484 W State StMilwaukee, WI 53213"
The Ruby Tap,(414) 456-1300,"1341 N Wauwatosa AveMilwaukee, WI 53213"
Fiyah Side Jamaican Cuisine,(414) 204-8740,"3709 W Villard AveMilwaukee, WI 53209"
The Meltdown,(414) 744-7101,"4925 S Howell AveMilwaukee, WI 53207"
Honeydip Donuts,(414) 412-6149,"5306 S 27th StMilwaukee, WI 53221"
Munchies Frozen Custard,(414) 509-7292,"8333 W Appleton AveMilwaukee, WI 53218"
Great Apple Chinese,(414) 541-3133,"11064 W Natl AveMilwaukee, WI 53227"
Moment Restaurant,(812) 280-1103,"7140 N 76th StMilwaukee, WI 53223"
The Meltdown,(414) 355-6865,"8001 W Brown Deer RdMilwaukee, WI 53223"
El Tenampa Mexican Grill & Cantina,(414) 206-0790,"8660 N 107th StMilwaukee, WI 53224"
The Lobby Lounge,(414) 298-3135,"424 E Wisconsin AveMilwaukee, WI 53202"
Elliotts' Off Broadway Deli,(414) 276-3354,"411 E Wisconsin AveMilwaukee, WI 53202"
Davians,(414) 276-3354,"411 E Wisconsin Ave Ste 8Milwaukee, WI 53202"
Downtown Subs Inc,(414) 272-0876,"324 E Wisconsin AveMilwaukee, WI 53202"
Dos Bonitas,(414) 225-1760,"728 N Milwaukee StMilwaukee, WI 53202"
Chinese and Thai Hot Cafe,(414) 271-3333,"315 E Wisconsin AveMilwaukee, WI 53202"
Downtown Cafe,(414) 224-1513,"315 E Wisconsin AveMilwaukee, WI 53202"
Dick's,(414) 272-3425,"730 N Milwaukee StMilwaukee, WI 53202"
Pita Pit,(414) 930-0910,"231 E Wisconsin AveMilwaukee, WI 53202"
Garden Grill,(414) 271-6611,"611 N BroadwayMilwaukee, WI 53202"
Ouzo Cafe,(414) 272-6896,"776 N Milwaukee StMilwaukee, WI 53202"
Refuge Cafe,(414) 847-2020,"758 N BroadwayMilwaukee, WI 53202"
Cornby's Restaurant,(414) 935-4000,"724 N Water StMilwaukee, WI 53202"
JC's Pub & Grill,(414) 281-8175,"628 N Water StMilwaukee, WI 53202"
Michigan Street Diner,(414) 276-7530,"220 E Michigan StMilwaukee, WI 53202"
Brio,(414) 273-1978,"785 N Jefferson StMilwaukee, WI 53202"
Uncanny Soup,(414) 231-3706,"612 N Water StMilwaukee, WI 53202"
Good Life Restaurant Lounge,(414) 763-0967,"731 N Water StMilwaukee, WI 53202"
Skyway Cafe,(414) 585-9268,"626 E Wisconsin AveMilwaukee, WI 53202"
The Angry Taco,(414) 800-7785,"753 N Water StMilwaukee, WI 53202"
Monsoon,(414) 287-7253,"811 N Jefferson StMilwaukee, WI 53202"
DLD22 Cafe,(414) 204-4115,"720 E Wisconsin AveMilwaukee, WI 53202"
Mos Restaurants,(414) 272-0720,"720 N Plankinton AveMilwaukee, WI 53203"
Osteria Langhe,(414) 286-2601,"841 N Broadway Rm 716Milwaukee, WI 53202"
Aladdin Middle Eastern Cuisine,(414) 271-0400,"400 N Water StMilwaukee, WI 53202"
Soup & Stock Market,(414) 276-4444,"400 N Water StMilwaukee, WI 53202"
Rupena's at the Milwaukee Public Market,(414) 732-2900,"400 N Water StMilwaukee, WI 53202"
Anodyne Coffee Roasting Co,(262) 888-3642,"400 N Water StMilwaukee, WI 53202"
Aria Cafe & Bar,(414) 270-4422,"139 E Kilbourn AveMilwaukee, WI 53202"
Espana Tapas House,(414) 988-9468,"800 N Plankinton AveMilwaukee, WI 53203"
Brunch,(414) 210-5381,"800 N Plankinton AveMilwaukee, WI 53203"
Holey Moley Coffee & Doughnuts,(414) 308-1616,"316 N Milwaukee StMilwaukee, WI 53202"
FreshFin Poke,(414) 763-0473,"316 N Milwaukee StMilwaukee, WI 53202"
Brute Sourdough Pizza,(563) 580-7242,"316 N Milwaukee StMilwaukee, WI 53202"
Xankia,(414) 817-0241,"222 W Wells StMilwaukee, WI 53203"
India Palace,(414) 763-3363,"228 W Wells StMilwaukee, WI 53203"
Crab IT Your Way,(414) 988-2677,"823 N 2nd StMilwaukee, WI 53203"
Gold's Fruit Smoothies,(414) 278-7930,"275 W Wisconsin AveMilwaukee, WI 53203"
Make Waves,(414) 278-9466,"275 W Wisconsin AveMilwaukee, WI 53203"
Bartolotta Catering Co-Events,(414) 727-6980,"925 E Wells StMilwaukee, WI 53202"
Canary Coffee Bar,(414) 426-8389,"720 N Dr Martin Luther King Jr DrMilwaukee, WI 53203"
The King and I,(414) 276-4181,"830 N Old World 3rd StMilwaukee, WI 53203"
Au Bon Appetit,(414) 223-3222,"219 N Milwaukee StMilwaukee, WI 53202"
Nanakusa,(414) 223-3200,"408 E Chicago StMilwaukee, WI 53202"
Skyway Cafe,(414) 347-5027,"331 W Wisconsin AveMilwaukee, WI 53203"
Cafe Calatrava,(414) 224-3831,"700 N Art Museum DrMilwaukee, WI 53202"
Peet's Coffee & Tea,(414) 273-1928,"1123 N Van Buren StMilwaukee, WI 53202"
Judge's Irish Pub,(414) 224-0605,"929 N Astor StMilwaukee, WI 53202"
Fairgrounds,(414) 395-3003,"916 E State StMilwaukee, WI 53202"
Taco Mikes,(414) 763-3325,"1001 N Dr Martin Luther King Jr DrMilwaukee, WI 53203"
Jewel of India,(414) 226-4700,"1003 N Old World 3rd StMilwaukee, WI 53203"
The Fatty Patty,(414) 522-1133,"221 E Juneau AveMilwaukee, WI 53202"
Guse's City Hall,(414) 727-4457,"1009 N Old World 3rd StMilwaukee, WI 53203"
Vegabond,(414) 223-1122,"1122 N Edison StMilwaukee, WI 53202"
Wetzel Brothers,(414) 271-5444,"112 N BroadwayMilwaukee, WI 53202"
Grace Place Coffee,(414) 271-3006,"250 E Juneau AveMilwaukee, WI 53202"
Triple Crown Inc,(414) 224-8500,"1019 N Dr Martin Luther King Jr DrMilwaukee, WI 53203"
Uber Tap Room,(414) 755-2424,"1048 N Old World 3rd StMilwaukee, WI 53203"
Valhalla,(414) 755-2424,"1111 N Old World 3rd StMilwaukee, WI 53203"
Water Street Entertainment District,(760) 638-6048,"1225 N Water StMilwaukee, WI 53202"
Swig,(414) 431-7944,"1227 N Water StMilwaukee, WI 53202"
Drink Wisconsinbly Pub,(414) 409-1740,"320 W Highland AveMilwaukee, WI 53203"
Christopher's on Astor,(414) 272-4747,"1228 N Astor StMilwaukee, WI 53202"
Cafe Luna,(414) 223-1558,"106 W Seeboth St Ste 103Milwaukee, WI 53204"
Starbucks Coffee,(414) 221-9099,"544 E Ogden AveMilwaukee, WI 53202"
Eggs & Bakin,(414) 416-8496,"544 E Ogden AveMilwaukee, WI 53202"
Sammy's Taste Of Chicago,(414) 755-4478,"622 W Wisconsin AveMilwaukee, WI 53203"
Gyro Freaks,(414) 273-4976,"700 W Wisconsin AveMilwaukee, WI 53233"
Hot Flash Deli & Gyros,(414) 748-1434,"701 W Wisconsin AveMilwaukee, WI 53233"
Lazo's Taco Shack,(414) 988-6567,"641 N James Lovell StMilwaukee, WI 53233"
Zoup,(414) 944-7500,"1433 N Jefferson StMilwaukee, WI 53202"
Peet's Coffee & Tea,(414) 272-6677,"605 E Lyon StMilwaukee, WI 53202"
R Cafe,(414) 286-2005,"814 W Wisconsin AveMilwaukee, WI 53233"
Papa John's Pizza,(414) 258-2320,"222 S 3rd St Unit 1407Milwaukee, WI 53204"
Likkle Jamayka,(414) 210-2747,"235 S 2nd StMilwaukee, WI 53204"
Barossa,(414) 272-8466,"235 S 2nd StMilwaukee, WI 53204"
Alderaan Coffee,(414) 395-9955,"1560 N Water StMilwaukee, WI 53202"
Pleasant Kafe,(414) 364-8128,"1600 N Jackson StMilwaukee, WI 53202"
Interval Coffee,(877) 585-1085,"1600 N Jackson StMilwaukee, WI 53202"
Room 434,(414) 831-1112,"434 S 2nd StMilwaukee, WI 53204"
Hyatt Place Milwaukee/Downtown,(414) 808-3880,"800 W Juneau AveMilwaukee, WI 53233"
Glass + Griddle,(414) 988-1551,"1130 N 9th StMilwaukee, WI 53233"
Bottlehouse 42,(414) 988-1550,"1130 N 9th StMilwaukee, WI 53233"
Brewcity Yoga,(414) 375-9642,"408 W Florida StMilwaukee, WI 53204"
Royal Empire Club,(414) 226-1000,"1125 N 9th StMilwaukee, WI 53233"
Marco Pollo,(414) 791-8189,"1125 N 9th StMilwaukee, WI 53233"
Bento Xpert,(414) 935-2823,"1125 N 9th StMilwaukee, WI 53233"
Lucky's Spitfire,(414) 712-9381,"1125 N 9th StMilwaukee, WI 53233"
Pabst Lodge Express,(414) 712-9381,"1125 N 9th StMilwaukee, WI 53233"
Restaurants at Eleven 25,(414) 376-7300,"1125 N 9th StMilwaukee, WI 53233"
Gouda Girls,(414) 630-8360,"1125 N 9th StMilwaukee, WI 53233"
Elephant Cafe,(414) 220-9322,"1505 N Farwell AveMilwaukee, WI 53202"
Movida,(414) 224-5300,"524 S 2nd StMilwaukee, WI 53204"
Smyth,(414) 831-4615,"500 W Florida StMilwaukee, WI 53204"
Van Buren Whiskey Bar & Grille,(414) 269-9810,"1682 N Van Buren StMilwaukee, WI 53202"
Mangos Cafe East,(414) 269-9810,"1682 N Van Buren StMilwaukee, WI 53202"
The Truck Stop,(414) 837-4194,"707 E Brady StMilwaukee, WI 53202"
Zarletti,(414) 225-0000,"714 E Brady StMilwaukee, WI 53202"
Mangu,(414) 276-2250,"1550 N Farwell AveMilwaukee, WI 53202"
Inside the Huddle,(414) 727-3600,"1727 N Palmer StMilwaukee, WI 53212"
Greek Gyros,(414) 310-2102,"605 S 1st StMilwaukee, WI 53204"
Burger Mke,(414) 220-9999,"605 S 1st StMilwaukee, WI 53204"
Flappers Wings and More,(414) 220-9999,"605 S 1st StMilwaukee, WI 53204"
thai-namite restaurant,(414) 837-6280,"932 E Brady StMilwaukee, WI 53202"
Tauro Cocina,(414) 488-2941,"1758 N Water StMilwaukee, WI 53202"
View Mke,(414) 763-0003,"1818 N Hubbard StMilwaukee, WI 53212"
Avli Milwaukee,(414) 395-1300,"1818 N Hubbard StMilwaukee, WI 53212"
Hosed On Brady,(414) 223-3919,"1689 N Franklin PlMilwaukee, WI 53202"
Snifters Tapas & Spirits,(414) 635-0882,"606 S 5th StMilwaukee, WI 53204"
Kompali Taqueria,(414) 210-3010,"1205 E Brady StMilwaukee, WI 53202"
Petes Deli,(414) 220-8007,"700 W Virginia StMilwaukee, WI 53204"
Richard's Cafe,(414) 231-9751,"700 W Virginia StMilwaukee, WI 53204"
Pachanga's Bar & Grill,(414) 220-9940,"600 S 6th StMilwaukee, WI 53204"
Harry's on Brady,(414) 273-6000,"1234 E Brady StMilwaukee, WI 53202"
Pete’s Pub,(414) 312-7457,"1234 E Brady StMilwaukee, WI 53202"
Satellite Crepes,(414) 807-2320,"1317 E Brady StMilwaukee, WI 53202"
Rochambo Coffee & Tea House,(414) 291-0095,"1317 E Brady StMilwaukee, WI 53202"
Eat 3 Restaurant,(414) 263-3283,"1801 N Dr Martin Luther King DrMilwaukee, WI 53212"
Coco Bella,(414) 431-9241,"1323 E Brady StMilwaukee, WI 53202"
Modern Maki,(414) 737-1191,"636 S 6th StMilwaukee, WI 53204"
La Masa Empanada Bar,(414) 885-1866,"1300 E Brady StMilwaukee, WI 53202"
FroZone,(414) 881-5895,"1320 E Brady StMilwaukee, WI 53202"
King Crab Shack,(414) 210-4287,"1330 E Brady StMilwaukee, WI 53202"
Fifth Ward Pub,(414) 383-3211,"814 S 2nd StMilwaukee, WI 53204"
All Purpose,(414) 672-6000,"814 S 2nd StMilwaukee, WI 53204"
Mi Casa Su Cafe,(414) 488-9916,"1835 N Dr Martin Luther King Jr DrMilwaukee, WI 53212"
SereniTea,(414) 312-7381,"1414 W Wells StMilwaukee, WI 53233"
Taco Stop Mke,(414) 935-2988,"1426 E Brady StMilwaukee, WI 53202"
La Casa De Alberto,(414) 643-5715,"624 W National AveMilwaukee, WI 53204"
The Lunda Room,(414) 288-3073,"1442 W Wisconsin AveMilwaukee, WI 53233"
Renes & Bens,(414) 395-3340,"611 W National AveMilwaukee, WI 53204"
Albashaa Cafe,(414) 220-9996,"1751 N Farwell AveMilwaukee, WI 53202"
Union Sports Annex,(414) 288-7769,"16th Street & WellsMilwaukee, WI 53233"
Hubbard,(414) 273-8300,"W 1200 W Canal StMilwaukee, WI 53233"
Dine Out Inc,(414) 562-0220,"2007 N Dr Martin Luther King Jr DrMilwaukee, WI 53212"
The Laughing Taco,(414) 210-3086,"1033 S 1st StMilwaukee, WI 53204"
Sakana Burritos,(414) 909-3999,"1616 W Wisconsin AveMilwaukee, WI 53233"
Sushi Sensei,(414) 909-3999,"1616 W Wisconsin AveMilwaukee, WI 53233"
Taka Teriyaki,(414) 909-3999,"1616 W Wisconsin AveMilwaukee, WI 53233"
Broken Yolk II,(414) 763-6756,"1617 W Wells StMilwaukee, WI 53233"
BroYo Breakfast Shoppe,(414) 763-6756,"1617 W Wells StMilwaukee, WI 53233"
Lucky Bun Dim Sum No 1,(414) 212-8843,"1101 S 2nd StMilwaukee, WI 53204"
El Nuevo Dia,(414) 645-8990,"1039 W National AveMilwaukee, WI 53204"
Locavore – Potawatomi Hotel and Restaurant,(414) 847-8510,"1611 W Canal StMilwaukee, WI 53233"
Krishveer,(414) 273-1273,"1940 N Farwell AveMilwaukee, WI 53202"
Koppa's Fulbeli Deli,(414) 273-1273,"1940 N Farwell AveMilwaukee, WI 53202"
Milwaukee Chili Bowl,(414) 687-5365,"1721 W Canal StMilwaukee, WI 53233"
Celesta,(414) 231-3030,"1978 N Farwell AveMilwaukee, WI 53202"
Peet's Coffee & Tea,(414) 374-8621,"1100 E Garfield AveMilwaukee, WI 53212"
Jewels Caribbean Restaurant,(414) 585-0678,"2230 N Dr Martin Luther King DrMilwaukee, WI 53212"
Highly Edibles,(414) 616-1873,"2225 N Humboldt BlvdMilwaukee, WI 53212"
Tacos El Charrito,(414) 522-2280,"317 W North Ave # 301Milwaukee, WI 53212"
Still on Twelfth,(414) 562-3121,"1871 N 12th StMilwaukee, WI 53205"
Wayward Kitchen Company,(414) 763-1191,"1407 S 1st StMilwaukee, WI 53204"
Fiesta Cafe,(414) 914-9569,"1407 S 1st StMilwaukee, WI 53204"
Wings,(414) 931-7340,"2023 W Wisconsin AveMilwaukee, WI 53233"
Fro Yo Bella,(414) 332-5756,"430 W North AveMilwaukee, WI 53212"
Super Taqueria Don Pancho,(414) 585-9810,"1336 S 7th StMilwaukee, WI 53204"
Taqueria Local,(414) 672-6746,"1338 S 7th StMilwaukee, WI 53204"
D.P. Dough,(414) 775-0555,"1515 E North AveMilwaukee, WI 53202"
Mac Man,(414) 775-0555,"1515 E North AveMilwaukee, WI 53202"
Simple Cafe Milwaukee,(414) 271-2124,"2124 N Farwell AveMilwaukee, WI 53202"
Sazon Boricua,(414) 312-8652,"830 W Greenfield AveMilwaukee, WI 53204"
Sofrito's Vega,(414) 323-4333,"830 W Greenfield AveMilwaukee, WI 53204"
Buddy's Pizza & Steak,(414) 372-9000,"2410 N Dr Martin Luther King DrMilwaukee, WI 53212"
Popeye's Store-National,(414) 649-9989,"1567 W National AveMilwaukee, WI 53204"
Greek Gyros,(414) 206-1757,"2232 N Oakland AveMilwaukee, WI 53202"
Burger Mke,(414) 287-9999,"2232 N Oakland AveMilwaukee, WI 53202"
Southern Fried Fish & Chicken,(414) 287-9999,"2232 N Oakland AveMilwaukee, WI 53202"
Jet's Pizza,(414) 276-3000,"1857 E Kenilworth PlMilwaukee, WI 53202"
The Chocolate Factory Subs & Ice Cream,(414) 276-9996,"2009 E Kenilworth PlMilwaukee, WI 53202"
Fusion Poke,(414) 763-4525,"1813 E Kenilworth PlMilwaukee, WI 53202"
Caffe Deco,(414) 345-5010,"2308 W Wisconsin AveMilwaukee, WI 53233"
The Fitz,(414) 345-5015,"2308 W Wisconsin AveMilwaukee, WI 53233"
Yokohama,(414) 763-6570,"1932 E Kenilworth PlMilwaukee, WI 53202"
Merge,(414) 226-5160,"1932 E Kenilworth PlMilwaukee, WI 53202"
Tacolote Taqueria,(414) 988-4456,"831 S Cesar E Chavez DrMilwaukee, WI 53204"
Chicago Style,(414) 643-7777,"2221 W Natl AvMilwaukee, WI 53204"
Tequeria Mr Churro,(414) 389-9511,"2333 W Natl AvMilwaukee, WI 53204"
Pita Pit,(414) 727-2720,"2224 N Farwell AveMilwaukee, WI 53202"
Branded,(888) 543-4766,"500 W Florida St The Iron Horse HotelMilwaukee, WI 53204"
El Jalapeno,(414) 383-4774,"2106 W Natl AvMilwaukee, WI 53204"
Alterra Coffee Roasters,(414) 273-3753,"2211 N Prospect AveMilwaukee, WI 53202"
Freshfin Poke,(414) 239-8677,"1806 E North AveMilwaukee, WI 53202"
Deli Menu,(414) 278-7800,"1901 E North AveMilwaukee, WI 53202"
Rosattis Pizza Milwaukee,(414) 224-0199,"2238 N Farwell AveMilwaukee, WI 53202"
Frida,(414) 732-4702,"2238 N Farwell AveMilwaukee, WI 53202"
Colectivo Coffee,(414) 273-3753,"2211 N Prospect AveMilwaukee, WI 53202"
Talk of the Town,(414) 455-8194,"2302 W State StMilwaukee, WI 53233"
El Rey Market - Taco Loco Restaurant,(414) 643-1640,"916 S Cesar E Chavez DrMilwaukee, WI 53204"
Riverwest Pizza,(414) 269-9703,"932 E Wright StMilwaukee, WI 53212"
Taste Of Chicago,(414) 649-8000,"1108 W Greenfield AveMilwaukee, WI 53204"
Sip & Purr Cat Cafe,(414) 585-0707,"2021 E Ivanhoe PlMilwaukee, WI 53202"
Marta's Tamales,(414) 975-5410,"1023 S Cesar E Chavez DrMilwaukee, WI 53204"
Peet's Coffee & Tea,(414) 389-1090,"1818 W National AveMilwaukee, WI 53204"
Mr Senors,(414) 810-4076,"2335 N Murray AveMilwaukee, WI 53211"
Bruegger's,(414) 223-2663,"2045 E North AveMilwaukee, WI 53202"
Donut Squad,(414) 380-4205,"2264 N Prospect AveMilwaukee, WI 53202"
Bee's Cuisine,(414) 551-2166,"2336 N Farwell AveMilwaukee, WI 53211"
Taqueria,(414) 223-1500,"2305 N Prospect AveMilwaukee, WI 53211"
Don Pancho Taqueria,(414) 672-6746,"1202 S Cesar E Chavez DrMilwaukee, WI 53204"
Moosas-,(414) 810-7227,"2272 N Lincoln Memorial DrMilwaukee, WI 53202"
Golden Fish & Chicken,(414) 933-3131,"2532 W Wisconsin AveMilwaukee, WI 53233"
La Michoacana Plus,(414) 988-5080,"1224 S Cesar E Chavez DrMilwaukee, WI 53204"
Mariscos El Abuelo,(414) 585-0005,"1234 S Cesar E Chavez DrMilwaukee, WI 53204"
Beto's Pizza,(414) 559-1586,"1234 S Cesar E Chavez DrMilwaukee, WI 53204"
Zero To 100 Fitness,(414) 687-1503,"706 N 26th StMilwaukee, WI 53233"
Triskele's,(414) 837-5950,"1801 S 3rd StMilwaukee, WI 53204"
High Dive,(414) 763-0729,"701 E Center StMilwaukee, WI 53212"
Tittu Rehmat Food,(414) 236-2862,"418 E Center StMilwaukee, WI 53212"
Salas Burgers,(414) 384-3965,"807 W Historic Mitchell StMilwaukee, WI 53204"
Damascus Gate Restaurant,(414) 810-3561,"807 W Historic Mitchell StMilwaukee, WI 53204"
Kabob Hub,(414) 702-1420,"2713 N Bremen StMilwaukee, WI 53212"
Pita Palace II,(414) 702-1420,"2713 N Bremen StMilwaukee, WI 53212"
Shawarma King,(414) 702-1420,"2713 N Bremen StMilwaukee, WI 53212"
Asala,(414) 372-9912,"405 W Center StMilwaukee, WI 53212"
Aj'S Pizza And Chicken,(414) 372-9912,"405 W Center StMilwaukee, WI 53212"
Taqueria La Guelaguetzita Oaxaca,(414) 839-3779,"1620 S 13th StMilwaukee, WI 53204"
Milwaukee Beer Bistro,(414) 562-5540,"2730 N Humboldt BlvdMilwaukee, WI 53212"
Big Daddy BBQ and Soulfood,(262) 202-7726,"2730 N Humboldt BlvdMilwaukee, WI 53212"
Stella’s Homestyle Restaurant,(414) 265-5144,"2740 N Dr Martin Luther King DrMilwaukee, WI 53212"
